year,model,target,n,r2,rmse,mae
2023,rf,N(g/kg),202,0.3307400009665935,0.849442457155635,0.6119615899591607
2023,rf,pH值,202,0.2725958573812341,0.5992924690910241,0.4744572361096888
2023,rf,全碳(g/kg),202,0.3085448903678637,11.569987487512549,7.965527519742136
2022,rf,容重(g/cm3),202,0.0870239362871212,0.166007562437251,0.1304662605296281
2019,rf,有机碳(g/kg),202,0.2705628565020564,9.007508404856155,6.3349354710940045
2018,xgboost,N(g/kg),202,0.3388989499603054,0.8442488029394398,0.6072560069254129
2023,xgboost,pH值,202,0.3846205372926091,0.5512167857960995,0.4339953089232491
2021,xgboost,全碳(g/kg),202,0.3772250393788534,10.980357132149198,8.068132987824997
2022,xgboost,容重(g/cm3),202,0.1346793872651239,0.1616168736915909,0.1270184913369924
2021,xgboost,有机碳(g/kg),202,0.2945446029259014,8.858200767082181,6.641586537880472
