year,model,target,n,r2,rmse,mae
2021,xgboost,pH值,202,0.18098761312054923,0.6359107551838462,0.4934398755932799
2021,xgboost,全碳(g/kg),202,0.37722503937885343,10.980357132149198,8.068132987824997
2021,xgboost,有机碳(g/kg),202,0.29454460292590146,8.858200767082181,6.641586537880472
2021,xgboost,容重(g/cm3),202,0.020680276587431767,0.1719334697240604,0.1363285391757134
2021,xgboost,N(g/kg),202,0.2936691778319128,0.8726510368449912,0.6355277617473414
2022,rf,pH值,202,0.17011495242579666,0.6401178016791782,0.481316539746599
2022,rf,全碳(g/kg),202,0.22723290192647327,12.23137286709183,8.275845164440009
2022,rf,有机碳(g/kg),202,0.18754237721552236,9.506290854399403,6.72645329264932
2022,rf,容重(g/cm3),202,0.08702393628712124,0.16600756243725107,0.13046626052962818
2022,rf,N(g/kg),202,0.24846930672954626,0.9001396478392706,0.6368276977298005
2022,xgboost,pH值,202,0.13201919701931852,0.6546452110776778,0.5026678751010705
2022,xgboost,全碳(g/kg),202,0.30828225996493286,11.572184551322575,8.12914638519287
2022,xgboost,有机碳(g/kg),202,0.23799186502400238,9.206414894743366,6.7646239054085004
2022,xgboost,容重(g/cm3),202,0.13467938726512396,0.1616168736915909,0.12701849133699247
2022,xgboost,N(g/kg),202,0.28266800464139263,0.8794205931441575,0.6411292186585984
2023,rf,pH值,202,0.27259585738123415,0.5992924690910241,0.4744572361096888
2023,rf,全碳(g/kg),202,0.3085448903678637,11.569987487512547,7.965527519742136
2023,rf,有机碳(g/kg),202,0.24465874959571177,9.166052499713482,6.566349086060128
2023,rf,容重(g/cm3),202,0.06680524732672721,0.1678356910290575,0.12888052363970312
2023,rf,N(g/kg),202,0.3307400009665935,0.849442457155635,0.6119615899591607
2023,xgboost,pH值,202,0.38462053729260914,0.5512167857960995,0.4339953089232491
2023,xgboost,全碳(g/kg),202,0.32540127470439084,11.428090008371898,8.15476125773817
2023,xgboost,有机碳(g/kg),202,0.2386366255676926,9.202519142861078,6.682911798269442
2023,xgboost,容重(g/cm3),202,0.04163118655107212,0.1700844121612081,0.13159173394227736
2023,xgboost,N(g/kg),202,0.26442814028447603,0.8905310842191938,0.6448116148556813
2024,rf,pH值,202,0.16735784881824534,0.6411802426100146,0.48691626759025936
2024,rf,全碳(g/kg),202,0.14606178071631815,12.857724615745306,8.561004430828909
2024,rf,有机碳(g/kg),202,0.13210332595015173,9.825275821018101,6.847377309787944
2024,rf,容重(g/cm3),202,-0.004586759353979453,0.17413733826261604,0.13567835233954198
2024,rf,N(g/kg),202,0.1875028410269769,0.9359388085042873,0.6639663193795916
2024,xgboost,pH值,202,0.13436449816538043,0.6537601807337593,0.49657294348915015
2024,xgboost,全碳(g/kg),202,0.1901437142311284,12.521457184158248,8.457629370925451
2024,xgboost,有机碳(g/kg),202,0.10711620523137044,9.965709179845652,7.043375053028069
2024,xgboost,容重(g/cm3),202,-0.049861163501961236,0.17801807983157825,0.13947958471906302
2024,xgboost,N(g/kg),202,0.2192287407039678,0.9174838729384083,0.6560783876782598
2025,rf,pH值,202,0.16282046360807834,0.6429248870898325,0.4868420665417706
2025,rf,全碳(g/kg),202,0.23307611011915386,12.185041911825131,8.236839422359077
2025,rf,有机碳(g/kg),202,0.18240891571172635,9.536276009408887,6.595539141771805
2025,rf,容重(g/cm3),202,0.044775943423470244,0.16980512843605802,0.13119790757783814
2025,rf,N(g/kg),202,0.22839410734686605,0.9120828671058469,0.6445197685678344
2025,xgboost,pH值,202,0.11058696035504567,0.662678196113736,0.49939586412788617
2025,xgboost,全碳(g/kg),202,0.29759710150664365,11.661221419218352,8.26360923653782
2025,xgboost,有机碳(g/kg),202,0.20041627870129353,9.430673531652102,6.920880849290602
2025,xgboost,容重(g/cm3),202,-0.0035963724651961737,0.1740514791457142,0.13887648824704993
2025,xgboost,N(g/kg),202,0.27264310980606443,0.8855443340266318,0.6452926194809451
