number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
27,0.17355114193767138,2026-05-28 17:49:19.516797,2026-05-28 17:49:19.681627,0 days 00:00:00.164830,0.8776708019366832,1.3241069113994959,60,0.08736532798595317,2,8.08037650107565,274,0.00031630932215037026,6.81625468334123,0.947421739224323,COMPLETE
28,0.17336037726345926,2026-05-28 17:49:19.681670,2026-05-28 17:49:19.870241,0 days 00:00:00.188571,0.9418510749912643,0.8113024147425728,41,0.11735766864099564,3,4.8010641721653595,446,0.004632628662895693,4.35396142328841,0.7890040188200396,COMPLETE
29,0.16899783086375036,2026-05-28 17:49:19.870280,2026-05-28 17:49:19.991861,0 days 00:00:00.121581,0.6676903692651737,0.24485156805704003,48,0.045837234404952465,4,9.800906336366735,135,0.16170941884790482,2.6769088255491136,0.9992276137747015,COMPLETE
30,0.1735393055403415,2026-05-28 17:49:19.991897,2026-05-28 17:49:20.193933,0 days 00:00:00.202036,0.5925689148322761,2.1217354681262393,54,0.034817588673974706,2,3.703059535891372,775,0.0004381985071490906,5.857968617500045,0.8449362758433722,COMPLETE
31,0.16804551542909446,2026-05-28 17:49:20.193978,2026-05-28 17:49:20.329282,0 days 00:00:00.135304,0.7393396597465963,0.10945757410066692,51,0.06910408095412636,2,10.175160165316646,198,0.0008787000250413982,3.973704998569672,0.8711466469881757,COMPLETE
32,0.16780313204915392,2026-05-28 17:49:20.329321,2026-05-28 17:49:20.503976,0 days 00:00:00.174655,0.7606335518382301,0.256048067337049,49,0.06505087285902608,2,9.963422268692762,564,0.0011565488027782957,4.535342144663969,0.9054816288339497,COMPLETE
33,0.1697243215491559,2026-05-28 17:49:20.504016,2026-05-28 17:49:20.697353,0 days 00:00:00.193337,0.7183170426226676,0.3884593998243786,48,0.06749806316951376,2,7.1445822068261995,584,0.000974926868504243,4.676725780065195,0.8969044335711895,COMPLETE
34,0.17361050579212095,2026-05-28 17:49:20.697393,2026-05-28 17:49:20.841894,0 days 00:00:00.144501,0.7741950740789038,0.7595317733904045,44,0.09891599506309731,2,9.815903500358981,234,0.019004830651897488,3.1554669921023377,0.9606345537026993,COMPLETE
35,0.16848038234307955,2026-05-28 17:49:20.841930,2026-05-28 17:49:21.002056,0 days 00:00:00.160126,0.8650672158080106,0.3275715786152585,22,0.08004428502977408,2,2.85944741147993,571,0.0003192102377305141,0.8022719087921858,0.7292485582406009,COMPLETE
36,0.17360624114704476,2026-05-28 17:49:21.002103,2026-05-28 17:49:21.191250,0 days 00:00:00.189147,0.6700988929031177,0.7891370287625419,42,0.06516452508562047,3,8.040393318494498,662,0.047539336136300174,1.8533141290893658,0.9231640956452382,COMPLETE
37,0.1734203747754932,2026-05-28 17:49:21.191290,2026-05-28 17:49:21.353217,0 days 00:00:00.161927,0.6200749050864278,3.0112286701512194,61,0.08997372339915063,2,1.0036096430726509,358,0.006671796860624062,2.3030798897830844,0.8329073237526508,COMPLETE
38,0.1734886788515844,2026-05-28 17:49:21.353283,2026-05-28 17:49:21.536127,0 days 00:00:00.182844,0.9303454638355576,3.951174073552459,39,0.013351308673750015,3,5.664904701576097,541,0.0012919209769772348,0.5169849841653955,0.8860403221944063,COMPLETE
39,0.17348462002624251,2026-05-28 17:49:21.536184,2026-05-28 17:49:21.750195,0 days 00:00:00.214011,0.804247306942486,1.3776233490423375,56,0.021264434185457662,2,10.563400206078901,831,0.08756997918471997,1.0800605010391044,0.9162308230635882,COMPLETE
40,0.17029380645620693,2026-05-28 17:49:21.750240,2026-05-28 17:49:21.901964,0 days 00:00:00.151724,0.764806897841117,0.460868683067698,50,0.04211731090751084,2,8.962755722121395,290,0.00010590097751500892,1.4536828314255676,0.8032266343347103,COMPLETE
41,0.169580375033714,2026-05-28 17:49:21.902009,2026-05-28 17:49:22.071529,0 days 00:00:00.169520,0.8665104536951544,0.24929088712222688,21,0.08201589267952523,2,2.9649155232207005,572,0.00024069391376537158,0.7561975985286994,0.7171399600468957,COMPLETE
42,0.1696909943695462,2026-05-28 17:49:22.071569,2026-05-28 17:49:22.244233,0 days 00:00:00.172664,0.9220347797804012,0.21901273457962248,24,0.10085317485780801,2,2.496389301076028,629,0.0004983330293304679,0.8945723461118202,0.6464517005524257,COMPLETE
43,0.17372168238939942,2026-05-28 17:49:22.244273,2026-05-28 17:49:22.403970,0 days 00:00:00.159697,0.856645087592126,0.9176004073159645,8,0.07292504438654417,2,1.6046675708813245,538,0.0037014223575318962,0.4201848170635833,0.7296579416767637,COMPLETE
44,0.17026861835519924,2026-05-28 17:49:22.404010,2026-05-28 17:49:22.559579,0 days 00:00:00.155569,0.8981679910416785,0.5556032884747599,17,0.061187446673861126,2,2.4230359094328286,470,0.0017140704451818268,0.5741880098989086,0.753663624353233,COMPLETE
45,0.1850216723277053,2026-05-28 17:49:22.559624,2026-05-28 17:49:22.777443,0 days 00:00:00.217819,0.8272928807434747,0.004262877144918631,33,0.08521023112002363,2,1.7748774867477184,677,0.0003473045587556874,0.3232816381375314,0.6989832298346493,COMPLETE
46,0.1734599927503659,2026-05-28 17:49:22.777482,2026-05-28 17:49:22.934544,0 days 00:00:00.157062,0.951697019304536,1.2006551631389133,32,0.049470283859358574,5,6.422471962483374,520,0.00021152298605774765,4.1943469646278855,0.5861389878437955,COMPLETE
47,0.16767108435947178,2026-05-28 17:49:22.934585,2026-05-28 17:49:23.092057,0 days 00:00:00.157472,0.9759979630037459,0.3477804013138637,26,0.05889967294480233,3,4.107341283250346,449,0.0009650321640968285,0.44974002348285896,0.7679478654500738,COMPLETE
48,0.17238834559496438,2026-05-28 17:49:23.092093,2026-05-28 17:49:23.248675,0 days 00:00:00.156582,0.9852384028162291,0.632973491827945,55,0.0571854435757444,3,4.106509453726598,221,0.010828370531192304,0.4469335186546528,0.7629256006908108,COMPLETE
49,0.17350286720627697,2026-05-28 17:49:23.248712,2026-05-28 17:49:23.402789,0 days 00:00:00.154077,0.7209929167959395,1.7381341651616995,27,0.06533179674114031,3,11.956194003647527,430,0.0008554261665077457,0.38184982400784023,0.8348112042245803,COMPLETE
50,0.17337882783914443,2026-05-28 17:49:23.402830,2026-05-28 17:49:23.536463,0 days 00:00:00.133633,0.6925920797169447,1.0152759142884806,11,0.04790088168587356,4,7.5269701774974305,368,0.0020847942968121222,5.1173709576944955,0.7912876437123083,COMPLETE
51,0.16815526971299374,2026-05-28 17:49:23.536499,2026-05-28 17:49:23.694453,0 days 00:00:00.157954,0.9994702239059194,0.2826355812368087,20,0.07765940674640927,2,2.8435625205317505,619,0.00016078973439205007,0.5445259934727612,0.7482133909846144,COMPLETE
52,0.1671038209586791,2026-05-28 17:49:23.694499,2026-05-28 17:49:23.870089,0 days 00:00:00.175590,0.9711058430451989,0.17333628600459208,18,0.06965369803517797,2,3.3359074155964596,722,0.0011723834424705577,0.5821894698990157,0.8614194468253991,COMPLETE
53,0.16841131674764803,2026-05-28 17:49:23.870131,2026-05-28 17:49:24.055686,0 days 00:00:00.185555,0.9715200662367952,0.2144167698294891,17,0.06694219785554278,2,3.333918401757627,706,0.00017725048869582504,0.6120116782071375,0.7466910286128459,COMPLETE
54,0.17133343891622443,2026-05-28 17:49:24.055723,2026-05-28 17:49:24.223736,0 days 00:00:00.168013,0.9926348050432435,0.5333677252330467,15,0.05686945820908713,2,1.8779724010494885,746,0.0012930718970086182,0.9824465078507315,0.7760852369465145,COMPLETE
55,0.16895395972811367,2026-05-28 17:49:24.223777,2026-05-28 17:49:24.395957,0 days 00:00:00.172180,0.9668706763042945,0.12121763186853546,19,0.10812957443635786,3,2.375383359194407,631,0.00048580952316735766,3.136502694233097,0.8183522984499894,COMPLETE
56,0.17276084366168873,2026-05-28 17:49:24.395996,2026-05-28 17:49:24.587243,0 days 00:00:00.191247,0.9563466781152817,0.7476996573757522,25,0.09553852837158856,2,2.6191836953154235,898,0.0008059849809366492,0.5204377770554969,0.8862281146610905,COMPLETE
57,0.16925427346155172,2026-05-28 17:49:24.587281,2026-05-28 17:49:24.754912,0 days 00:00:00.167631,0.9971373511004205,0.44216888873312243,10,0.07094405357407693,2,3.7718724258234286,781,0.0025417628203679076,0.3593008558965348,0.8556586106298153,COMPLETE
58,0.16769805835158041,2026-05-28 17:49:24.754956,2026-05-28 17:49:24.927564,0 days 00:00:00.172608,0.7501466787419708,0.12332143329543407,12,0.03790562079868688,2,3.373068561858339,630,0.00010615148767202349,7.7732199641428394,0.8719184248976382,COMPLETE
59,0.17021783829658324,2026-05-28 17:49:24.927601,2026-05-28 17:49:25.100058,0 days 00:00:00.172457,0.7539162231846119,0.32536797694269715,13,0.03749683353244888,5,3.2920160344772245,620,0.00013669894665546535,9.042107619550203,0.7841053935188008,COMPLETE
60,0.16764454807188373,2026-05-28 17:49:25.100102,2026-05-28 17:49:25.279610,0 days 00:00:00.179508,0.9794190627759746,0.12023782727269872,12,0.025865881024841362,3,2.1801143533789284,714,0.0001559568072546409,14.202206607725985,0.693709332874225,COMPLETE
61,0.17784670281635329,2026-05-28 17:49:25.279649,2026-05-28 17:49:25.519924,0 days 00:00:00.240275,0.9745809720003938,0.0027236062364058566,16,0.027277970506902494,3,4.125589609028095,702,0.00012290438048879335,14.546420762545244,0.6774210468986863,COMPLETE
62,0.17029871694963936,2026-05-28 17:49:25.519974,2026-05-28 17:49:25.694445,0 days 00:00:00.174471,0.937884777943976,0.21955045383272268,12,0.02002342330013653,3,2.1124143271432247,649,0.0002624471139808941,12.554230971783227,0.7037549638180575,COMPLETE
63,0.17339899283031318,2026-05-28 17:49:25.694485,2026-05-28 17:49:25.880407,0 days 00:00:00.185922,0.9125764684118991,0.5100359636448824,19,0.030255954620786268,4,2.194716978687317,733,0.00010005264268418098,19.216322243268575,0.6284088370433446,COMPLETE
64,0.1734109881153775,2026-05-28 17:49:25.880448,2026-05-28 17:49:26.053208,0 days 00:00:00.172760,0.7855432987794658,0.6428403636804931,19,0.024441150516514683,3,2.6718019217807196,599,0.00016076807603168558,7.740029980903063,0.6796280330430228,COMPLETE
65,0.1682878435594473,2026-05-28 17:49:26.053246,2026-05-28 17:49:26.227546,0 days 00:00:00.174300,0.7357523500217633,0.16420439856959249,13,0.02157681070304511,2,2.8787285783203393,816,0.0005472848849719262,9.970293791770022,0.9058978714592775,COMPLETE
66,0.16939229632907288,2026-05-28 17:49:26.227586,2026-05-28 17:49:26.399546,0 days 00:00:00.171960,0.9501681267504778,0.34923562916820267,9,0.027047903556580103,3,1.3465265765833667,692,0.00035763286583565684,0.6565521778182801,0.7433174497325076,COMPLETE
67,0.17346341485660463,2026-05-28 17:49:26.399587,2026-05-28 17:49:26.578567,0 days 00:00:00.178980,0.9774251844113467,0.9020530893881953,22,0.040368323867934354,2,4.885159060832162,759,0.000189895253197668,15.976390034432214,0.8751542174541389,COMPLETE
68,0.17065553721390783,2026-05-28 17:49:26.578607,2026-05-28 17:49:26.840571,0 days 00:00:00.261964,0.6996704953674272,0.1247312665520397,28,0.062144001299618654,2,2.009408343504453,646,0.0010379533565154748,3.8565280098903196,0.6553694314557972,COMPLETE
69,0.17184826674413695,2026-05-28 17:49:26.840614,2026-05-28 17:49:27.005930,0 days 00:00:00.165316,0.9835172029020088,0.4226896282466901,14,0.01752113541884063,3,3.5381879313075464,557,0.0006290434709232027,6.538677988783943,0.8020641488748286,COMPLETE
70,0.17347551010327839,2026-05-28 17:49:27.005976,2026-05-28 17:49:27.178189,0 days 00:00:00.172213,0.8109547041799041,2.3287793346983627,26,0.05276641996246905,2,2.2848346490920766,606,0.00040075733707788005,11.758956798955353,0.9272079620193402,COMPLETE
71,0.16898317948726624,2026-05-28 17:49:27.178229,2026-05-28 17:49:27.349227,0 days 00:00:00.170998,0.7330269533380355,0.19447933001940432,12,0.04393445683746215,2,3.108540701939437,850,0.000490330269787381,10.114656221014386,0.913224610745224,COMPLETE
72,0.16767067048193268,2026-05-28 17:49:27.349276,2026-05-28 17:49:27.526111,0 days 00:00:00.176835,0.7353727453222586,0.09233612490311853,15,0.022584388383378208,2,2.782152845519911,773,0.00026556823221980864,10.320607212839148,0.9004914640788175,COMPLETE
73,0.1735490303781772,2026-05-28 17:49:27.526151,2026-05-28 17:49:27.705285,0 days 00:00:00.179134,0.7625484438234144,0.6795408666291413,17,0.018451819855205488,2,4.051182894962885,790,0.00028413340904534935,7.817967846508313,0.9607664663632838,COMPLETE
74,0.16849154885856152,2026-05-28 17:49:27.705331,2026-05-28 17:49:27.890806,0 days 00:00:00.185475,0.7940112867789048,0.07472468994709652,20,0.014436634553636033,2,2.670709195706595,710,0.0001521277004303984,16.717638518148817,0.8418016538891461,COMPLETE
75,0.17120917556317536,2026-05-28 17:49:27.890847,2026-05-28 17:49:28.047710,0 days 00:00:00.156863,0.7393697921855156,0.352451716939728,23,0.032578383958025925,2,4.619387072743164,500,0.00023086785088236318,11.813760488786965,0.8930197928149419,COMPLETE
76,0.17268268188036173,2026-05-28 17:49:28.047751,2026-05-28 17:49:28.219995,0 days 00:00:00.172244,0.9632752893666758,0.5533056985007958,8,0.07680158874539117,2,3.0609234035381725,668,0.0015012011424676483,5.106887192639855,0.9385113139926626,COMPLETE
77,0.17346455624433899,2026-05-28 17:49:28.220037,2026-05-28 17:49:28.396071,0 days 00:00:00.176034,0.6824177807130402,4.816690833804268,10,0.015980368116448995,2,5.416956421925178,736,0.0008193611465409156,6.730826754908738,0.8666289523088813,COMPLETE
78,0.16891680938548476,2026-05-28 17:49:28.396116,2026-05-28 17:49:28.569878,0 days 00:00:00.173762,0.7848473194493334,0.3049931322183612,15,0.022389217638600384,2,3.225015839569211,802,0.0001309125107622554,2.072164228795312,0.8620124402843699,COMPLETE
79,0.17023713210318298,2026-05-28 17:49:28.569922,2026-05-28 17:49:28.763719,0 days 00:00:00.193797,0.7658135167907778,0.011127029950589742,18,0.02282447684936592,4,2.7859287781294717,591,1.1962678182444795,8.814740159234653,0.9031078913720619,COMPLETE
